word,dialect,definition,example_runyoro,example_rutooro,related_words
Adyeri,Runyoro-Rutooro,"pet name given to a person by his/her parents at birth, particularly if the name given to her/him is Kaikara (woman) or Rwakaikara (man). aga- gen. part.for nouns in cl.6, to which possessive roots and self-standing pronouns are added to form possessives","pet name given to a person by his/her parents at birth (particularly if the name given to her/him is Kaikara (woman) or Rwakaikara (man). aga- gen. part.for nouns in cl.6, to which possessive roots and self-standing pronouns are added to form possessives)",,pl: Baadyeri
Bisuma,Runyoro-Rutooro,used only inpl.fonn,,,
Butwarane,Runyoro-Rutooro,"large dnun of the King of Tooro (beaten when he goes out to fight). butweke, o-, n. c/.14 (pl. nil","large dnun of the King of Tooro (beaten when he goes out to fight). butweke (o-, n. c/.14 (pl. nil))",,pl: Zaabutwarane
Bwikya,Runyoro-Rutooro,"house of the queen consort. bwimi, o-, 11. cl. 14, (pl. nil), meanness, stinginess",,,pl: maikya
abaabana,Runyoro-Rutooro,"to disperse, separate, wail with signs of despair","to disperse (separate, wail with signs of despair)",,pr. form: abaabat; c. form: abaabai; pass. form: ahaabaniubwa
abaabata,Runyoro-Rutooro,"to grope about, feel for",to grope about (feel for),,pr. form: abaabatira; c. form: abaabasa; pass. form: ahaahasihwa; pl: Baabbooki
abdomen,Runyoro-Rutooro,enda,"lower a., enderalera. abhor, v., nuga, tamwa, noba, fuuhya","lower a., enderalera. abhor, v., nuga, tamwa, noba, fuuhya",
abhorrence,Runyoro-Rutooro,"omuhuro, ekitaamisi. abide, v., raara, tuura, ikara, sigara. ability, v., amagezi, obugizi, obusobozi hondera. able, be, n., sobora. aboard, go, gwerra omubwato",,,
abiirra,Runyoro-Rutooro,"to show signs on the face of approaching death, be near death. Obu yaboine omurwaire we yatandika l.wabiirra aho yamanya ngu okufa !we kwahika, she realized that her patient was near death when his face started showing signs of dying","to show signs on the face of approaching death (be near death. Obu yaboine omurwaire we yatandika l.wabiirra aho yamanya ngu okufa !we kwahika, she realized that her patient was near death when his face started showing signs of dying)",,pr. form: abiriirra
abode,Runyoro-Rutooro,"dibya, hwerekereza, fuuhya. abominable, -adj. (a)omuziro, -nugwa, ihano",,,
aborigine,Runyoro-Rutooro,saagaana,,,
about,Runyoro-Rutooro,"nka. about,prep., ha. about to, be, ba haihi, ija, sana, genda, malize",,,
above,Runyoro-Rutooro,"above, pr\varphi. , haruguru ya. abreast, be, adv. inganaingana. abridge, cwaho, saraho, cwa k igufu. abscess, ekizimba","see wania, ifumbi. absent, be, yosa, buraho. absent-minded, be, adj. IV hungutuka, huga omutima, hugutana, kangaza. absolution, kwihwaho ebibi, okubohororwa, okuganyirwa. absolve, v. ihaho ebibi, ganyira, bohoorra. absorb, v. nywa, mara(ho). abstain (from) v., leka, erekesa, eyangisa, etantara. abundance, ensaagi, obwingi, omweru, ekiyooro, okusaagaana, okusaagiirra, ekidoomooro, ekityokoro, orucaca, endurundu, obuhiihi, empinga, obuhumbe. abundant,-ingi; see wania","see wania, ifumbi. absent, be, yosa, buraho. absent-minded, be, adj. IV hungutuka, huga omutima, hugutana, kangaza. absolution, kwihwaho ebibi, okubohororwa, okuganyirwa. absolve, v. ihaho ebibi, ganyira, bohoorra. absorb, v. nywa, mara(ho). abstain (from) v., leka, erekesa, eyangisa, etantara. abundance, ensaagi, obwingi, omweru, ekiyooro, okusaagaana, okusaagiirra, ekidoomooro, ekityokoro, orucaca, endurundu, obuhiihi, empinga, obuhumbe. abundant,-ingi; see wania",wania
abuka,Runyoro-Rutooro,"to come to an end, come to a stop, break up (e.g. market, festivity","to come to an end (come to a stop, break up (e.g. market, festivity))",,c. form: ab; pass. form: abukibwa
abukana,Runyoro-Rutooro,to part from. dlffer,,,c. form: ahukalliza; pass. form: altukallitibwa
abura,Runyoro-Rutooro,"to groan, wail, lament","to groan (wail, lament)",,c. form: ab
abuse,Runyoro-Rutooro,"ikiriza, toora, akuura",,,etebeekeerra
abuuka,Runyoro-Rutooro,ekyamwabu ukya haikaliire kiki? what bas made him/her rise up quickly?,,,c. form: abuukya
abuurra,Runyoro-Rutooro,"to undo, unfasten",to undo (unfasten),,c. form: aburuza; pass. form: aburl; pl: Baabwoli
accidentally,Runyoro-Rutooro,habw'obutandwa,"he did it a., atakigendeerre, atakigendeeri ire. accompany, v. genda na(or hamu), sendekereza, kuraati:ra, jeijeza (Omukama). acquiesce, v. ikiriza. acquire, v. tunga","he did it a., atakigendeerre, atakigendeeri ire. accompany, v. genda na(or hamu), sendekereza, kuraati:ra, jeijeza (Omukama). acquiesce, v. ikiriza. acquire, v. tunga",butanwa
accordingly,Runyoro-Rutooro,"kanya, etuuma, esorooza. active, -(a) emirirno, -(a) amaani, kurrukana. accusation, ekirego, omusango, rumiiriza, tiika. adam's apple, ek. iimironko. accuse, v. tura. lega, nyegeerra, hangiirra, birikiirra, tembeeka, hambiriza, tonga kubi, hendeerra, hyangya, dikiza, rumiiriza, tiika. adapt, semeza, inganainganiza, foora, gorora. add, gaarraabo, ongeraho, taho, bara, gaita, kanyisa, teeraniza, twengekeerra. accuser, n, omulegi, omunyegerezi, omubangirizi, omuhenderezi, omubirikirizi, kinyegeerra, omurumiiriza. adder, empoma, wahimbiri. addled,-(a) ebiyaga, rotten eggs. accustom, manyiiza","see -ti. across; see -ti. across, go, yambuka. account for, bara omuhendo, baarra, soboorra ebi okozere/ebi orabiremu. across,nseeri. across 'place', kiika. account of, on, habwa, obwa, sigikira. act, n., ekigambo, ek:ikorwa, engeso. accountant, omubazi w'ebitabu by'ensimbi. act, v., kora, gira. accumulate, v.i., kanya, etuuma, esorooza. active, -(a) emirirno, -(a) amaani, kurrukana. accusation, ekirego, omusango, rumiiriza, tiika. adam's apple, ek. iimironko. accuse, v. tura. lega, nyegeerra, hangiirra, birikiirra, tembeeka, hambiriza, tonga kubi, hendeerra, hyangya, dikiza, rumiiriza, tiika. adapt, semeza, inganainganiza, foora, gorora. add, gaarraabo, ongeraho, taho, bara, gaita, kanyisa, teeraniza, twengekeerra. accuser, n, omulegi, omunyegerezi, omubangirizi, omuhenderezi, omubirikirizi, kinyegeerra, omurumiiriza. adder, empoma, wahimbiri. addled,-(a) ebiyaga, rotten eggs. accustom, manyiiza","see -ti. across; see -ti. across, go, yambuka. account for, bara omuhendo, baarra, soboorra ebi okozere/ebi orabiremu. across,nseeri. across 'place', kiika. account of, on, habwa, obwa, sigikira. act, n., ekigambo, ek:ikorwa, engeso. accountant, omubazi w'ebitabu by'ensimbi. act, v., kora, gira. accumulate, v.i., kanya, etuuma, esorooza. active, -(a) emirirno, -(a) amaani, kurrukana. accusation, ekirego, omusango, rumiiriza, tiika. adam's apple, ek. iimironko. accuse, v. tura. lega, nyegeerra, hangiirra, birikiirra, tembeeka, hambiriza, tonga kubi, hendeerra, hyangya, dikiza, rumiiriza, tiika. adapt, semeza, inganainganiza, foora, gorora. add, gaarraabo, ongeraho, taho, bara, gaita, kanyisa, teeraniza, twengekeerra. accuser, n, omulegi, omunyegerezi, omubangirizi, omuhenderezi, omubirikirizi, kinyegeerra, omurumiiriza. adder, empoma, wahimbiri. addled,-(a) ebiyaga, rotten eggs. accustom, manyiiza",
ache,Runyoro-Rutooro,"oburumi, obunyamarumbu, entoto, emioyinyo, enkeoyera. adjacent, be, ba haihi, hereera, heerraana, taana. ache, v., teera, saasa, henangwa, rumwa, ceenya, huruuta, tonokora. adjudicate, v. ramura, cwa omusango. adjure, v., rabiza, nywisa obumara. achieve, hikiriza, tuoga ekyotaaha nokoleerra. adjust, v., kiraanura, semeza. administer, v., ha, gaba, roleerra. acid, be, saarra, tuerra. acid,foreg",,,
address,Runyoro-Rutooro,"endagiirro, ekiikaro",,,etebeekeerra
admiration,Runyoro-Rutooro,"okuhaisaniza, obwegombi, ligira. acknowledge, v. gamba, ik.iriza, atura",,,
admittance,Runyoro-Rutooro,"kwikiriza, kutaabya. admonish, v., hana, habura, tegeka. adolescent, omusigazi, omunyeete. adopt, v. foora omwana",a. custom,a. custom,
adoration,Runyoro-Rutooro,"okukugiza, okuramya. adore, v., kugiza, ramya, nyumiza. adorn, v., semeza, taho amajahya, jweka",,,
adornment,Runyoro-Rutooro,"obwecumi, amajahya. adult, adj., -kuru",,,
adult,Runyoro-Rutooro,omuntu omukuru,,,
adulterer,Runyoro-Rutooro,"omusiihani. adultery 'commit', v., siihana, kuteerana aheeru y'obuswezi obwikiriziibwe",,,
adultery,Runyoro-Rutooro,"genda omumaiso, ebembera. advance, v.tr., kuza, sindika",,,
adversary,Runyoro-Rutooro,"omuzigu, omunyanzigwa. adversity, enaku, obunaku, obwinazi, omuhito, obujune",,,
advice,Runyoro-Rutooro,"obulyo, amagezi, obuhanuuzi, obuhabuzi, empanangano. advise, v., habura, hanuurra, ha amagezi, cwera amagezi. adviser, omuhani, omuhanuuzi, omuhi w'amagezi, omuhabuzi",,,
adze,Runyoro-Rutooro,"embaijo, endemu, endyamiti, empango",,,
afar,Runyoro-Rutooro,hara,,,
affair,Runyoro-Rutooro,"ekigambo, ensonga. affectation, emyesungo, emyetuno. affected, be, esunga, egangaaza",see bumbulikwa; etc. see put 011 airs. affection,see bumbulikwa; etc. see put 011 airs. affection,"bumbulikwa, put"
after,Runyoro-Rutooro,"enyuma, hanyuma. after, prep., enyuma ya, hanyuma ya. afterbirth,ekyanyuma, owanyuma, ekisweko, ekyadaadi. afternoon, Orwebagyo, Nyaigoro. afterwards, banyuma. again, kandi, obwa kabiri",,,
aga,Runyoro-Rutooro,"to melt, become liquid",to melt (become liquid),,pr. form: agira; c. form: agya; pass. form: agibwa
agaaga,Runyoro-Rutooro,"to stroke, rub dewlap of cattle",to stroke (rub dewlap of cattle),,c. form: agaagisa; pass. form: agaagwa
agagara,Runyoro-Rutooro,"to sprawl, sit at ease",to sprawl (sit at ease),,pr. form: aguruurra; c. form: aguza; pass. form: agurwa; pl: Baagutamba
age,Runyoro-Rutooro,"obukuru. aged, -kuru. agent, omusigwa, omukeeto, omukwenda. aggravate, yongera kusiisa rundı kubiihya. agitate, saba n'okutiinisiriza, tiinisa, tabangura, tuntuza, hya ebimata. agitated, be, cambaitura, tabanguka, tuntuza, imukiriza. agitation, ekihika, okwemereza omutima, amaibaibani, ekicambaituko, okubangaraza omutima",,,
agitator,Runyoro-Rutooro,"embabazi, -rungi, ekirukwikiranizi.Pwa. alight, gwa hansi, sirimuka hansi, buumur",,,
agreement,Runyoro-Rutooro,"eldragalúo, endagaano. alike, be, sisa, sisaoa, ingana. aJienate, v. taanisa, baganiza, ahukaniza. alive, omeezi",,,
agriculture,Runyoro-Rutooro,obulitni,,,
ahaani,Runyoro-Rutooro,"plate, dish",plate,plate,
ahukira,Runyoro-Rutooro,to begin to graze cattle,"e111e ze obu zikaba zaatandika kwalwkira obunyansi obu akaba azitwairemu (ahonaaho akabona ehyamaiswa neezigwomu. when his cattle had started grazing on the pasture he took them to, he immediately saw a wild animal attacking them)",,
ahukiza,Runyoro-Rutooro,to taketo good pasture or water,azaahukiize omunIhiira oruhyaka zaalya obunyasi obunikurokera zaiguta (he took the cattle to newly burnt grass and they ate the sprouting grass to the full.),,
ahura,Runyoro-Rutooro,"c. fonn, ahuza, kw, okw-","put a side (store, take care of)",,
ahuza,Runyoro-Rutooro,entrust with,"p1: form (ahuliza, kw-, okw- (pf.-ahuliize))",,c. form: ahuzibwa; pass. form: ahuzibwa
ahya,Runyoro-Rutooro,"to drive from lair. Ai! Int., Oh! Ai bambi! expresses entreaty, Alas! ajura, kw-, okw-, vi","to drive from lair. Ai! Int., Oh! Ai bambi! expresses entreaty, Alas! ajura (kw-, okw-, vi. (pf. -ajwire))",,c. form: ajM; pass. form: ajuzibwa
aid,Runyoro-Rutooro,"obukoonyezi, obuyambi. allow, v. ikiriza, siima, leka. aid, v., jun a, kwasa, koonyera, juumura, yamba. ail, rwararwara, sindasinda. allude to, v. gambaho, bazaaho, ongeraho. ailment, endwara, oburwaire. aim, 11. itomo, ekigeodererwa. allure, v. ohya, bihiabihi, soonasoona, cunda. aim, v., lenga, toma, geodeerra. aimless, see tundubara, naiga, hukeera, jeeruukana, taaruuka",,,tundubara
air,Runyoro-Rutooro,"embeho, orwoya, obwangasa. almost,haihi",also use burabo,also use burabo,
aka,Runyoro-Rutooro,"of motor), to be in operation",(of motor) (to be in operation.),,
akuura,Runyoro-Rutooro,"lo take an offered thing in the hand, accept",lo take an offered thing in the hand (accept),,pr. form: akuruurra
akya,Runyoro-Rutooro,to get started,,,
alarm,Runyoro-Rutooro,"okutiina,enduuru. alarm, v., tiioisa, kanga","be alarmed; be alarmed, tiina, cwekwa enldzi, bya ebimata","be alarmed; be alarmed, tiina, cwekwa enldzi, bya ebimata",
ale,Runyoro-Rutooro,"amaarwa. allay, culeeza, keehya, maraho. aground, run, anzika. ague, 11. entengera. allegory, orufumu. ahead, omumaiso. aUeviate, culeeza, keehya, imukya enyikara, semeza",,,
alien,Runyoro-Rutooro,"omunyaihanga, omunyamahanga. au,-ona,a.ddy.do,iza obwire",,,
alika,Runyoro-Rutooro,to come to an end of a move in a game of 11 soro,,,
alinga,Runyoro-Rutooro,"to laze, be good for nothing",to laze (be good for nothing),,c. form: alingisa; pass. form: alingisibwa
alms,Runyoro-Rutooro,"eby'okugaba, ebisembo, ebyokuganyira air, v., anika, omesereza, turukya. airs, put on, esuoga, kuba n'amarara, esuusa, kaca, ehungura, ekunika, eguruma, egaogaaza, egunga ajar,be,ehoogora. alas!ai bambi!ai caali! zimboioe! nyaburaoyowe!",,,
aloe,Runyoro-Rutooro,"enkaka rutanga. alone adv., wenka. see",burungurungu; boijana,burungurungu; boijana,
altar,Runyoro-Rutooro,"hinduka, ebindura, efokoora, fooka. v.tr., hindura, hingisa, foora",,,
alteration,Runyoro-Rutooro,"okuhindura, empindura. amputate, saraho, cwaho, temaho, kona. alternat .adj., ebirukuhonderana omumbu, kubindurahindurana. although, noobwakubaire, noobwaraaba, gonze. altogether, bamu. always, obutoosa, obukyabukya, bwona, obutaikya, ebiro byona, ebiro n'ebiro",also use suffix ga. amaze,also use suffix ga. amaze,
ambassador,Runyoro-Rutooro,"egarukamu, eteera",,,
ambika,Runyoro-Rutooro,"to give a feast when baby cuts first teeth. ambuka, kw-, okw-, v.11","to give a feast when baby cuts first teeth. ambuka (kw-, okw-, v.11:, (pf.-ambukire))",,
ambura,Runyoro-Rutooro,"to make to cross, take across a swamp or river",to make to cross (take across a swamp or river.),,
ambuurra,Runyoro-Rutooro,"to exercise, remove evil (e.g. meclicine, etc. used by witch doctors) and put it in cross roads. amiirra I, kw-, okw-, v.11","to exercise (remove evil (e.g. meclicine, etc. used by witch doctors) and put it in cross roads. amiirra I, kw-, okw-, v.11:, (pf. -amiriire))",,
amiza,Runyoro-Rutooro,"to speak to (about) dead relative. Amooti, n. cl. Ia (pl. baaroooti",to speak to (about) dead relative. Amooti (n. cl. Ia (pl. baaroooti)),,pl: baaroooti
amount,Runyoro-Rutooro,"semeza, tereekereza, goorra ensobi",,,
amuka,Runyoro-Rutooro,"to pass over (of rain, clouds' wind",to pass over (of rain (clouds' wind).),,
amulet,Runyoro-Rutooro,"orugisa, ihembe, ensiriba, ehirizi. amuse, v. sckesa, zaanisa, semeza. a mu sement, okuzaana, omuzaano, okwesemeza. anaemia, omuhago",,,
amuliza,Runyoro-Rutooro,to be silent (of house,,,
amura,Runyoro-Rutooro,to withhold rain (old belie1,,,
amuza,Runyoro-Rutooro,"to shout, cry out in distress",to shout (cry out in distress),,
amya,Runyoro-Rutooro,"to mention name of dead person, speak scornfully of the dead",to mention name of dead person (speak scornfully of the dead.),,
ana,Runyoro-Rutooro,"to bear, produce fruit",to bear (produce fruit),,
anamira,Runyoro-Rutooro,to pay a friendly visit in the evening,,,
ancestor,Runyoro-Rutooro,"isenkuru, nyinenkuru",,,
ancestry,Runyoro-Rutooro,obwijukuru,,,
anchor,Runyoro-Rutooro,"ekinyakusubika obwato, erungika",,,
andaara,Runyoro-Rutooro,to trail along the ground,be idle (loiter.),,
andabana,Runyoro-Rutooro,to be exhausted (with diarrhorea,,,
andakaarra,Runyoro-Rutooro,"to be scattered about, in disorder",to be scattered about (in disorder),,
andakaraza,Runyoro-Rutooro,"to scatter, exhaust",to scatter (exhaust.),,
andamira,Runyoro-Rutooro,to sit mourning a long time,"pay a call at night and sit chatting. anduza (kw-, okw-, vc., (pf. -andwize))",,
anecdote,Runyoro-Rutooro,"ekigano, orufumu, oruganikyo. anger, 11. ekiniga",a. not,a. not,"neither, ekikana"
anga,Runyoro-Rutooro,"to say no, deny, refuse. angaarra, kw-, okw-. \i","to say no (deny, refuse. angaarra, kw-, okw-. \i.. (pf. -angaraire))",,
angasana,Runyoro-Rutooro,to shine,,,
angle,Runyoro-Rutooro,"kwatwa ekiniga, biihirwa, sukirana.seejwigwa, huunuuka, zibira, tontoma",make angry; biihiza,make angry; biihiza,
anguha,Runyoro-Rutooro,"to be quick.Jasten, hurry, be easy, be light","to be quick.Jasten (hurry, be easy, be light.)",,
anguhiirra,Runyoro-Rutooro,,to be easy (quick light.),,
anguhiriza,Runyoro-Rutooro,"to do too quickly, do carelessly, rash. anguhya, kw-, okw-, vc","to do too quickly (do carelessly, rash. anguhya, kw-, okw-, vc., (pf. -anguhize))",,pass. form: a
animal,Runyoro-Rutooro,"enyarnaiswa, ekisoro, ensoro",,,
anisa,Runyoro-Rutooro,"to make, to bear(fruit). anjara, kw-, okw-, v.11","to make (to bear(fruit). anjara, kw-, okw-, v.11:, (pf. anjasire))",,
anjuka,Runyoro-Rutooro,"to be lascivious, licentious",to be lascivious (licentious.),,
anjura,Runyoro-Rutooro,"to make lascivious, licentious",to make lascivious (licentious.),,
anjurruuka,Runyoro-Rutooro,"to be spread, come untied",to be spread (come untied.),,
anjurukuka,Runyoro-Rutooro,foreg,,,
anjuurra,Runyoro-Rutooro,to open (book,,,
ankle,Runyoro-Rutooro,"obutenge, akakongoijo, akanyamagita, akateerarume, obujwarro bw'enkwanzi",,,
anklet,Runyoro-Rutooro,"oruoyeerre, ekyangaoge enjogeza, iragane, ikoita. annex, v., twara, kwata, nyaga, lya. annihilate, hwerekereza kimu. announce, v., ranga, tebeza, duuma",,,
announcer,Runyoro-Rutooro,"omurangi, omuduumi. annoy, v., tuntuza, biihiza, gadya, ita kubi, jookooza. annoyance, enkini, okubiihirwa, etc. annoyed, be, biihirwa, tuntura, gongera, gangamuka, gadisibwa",,,
annual,Runyoro-Rutooro,"omwaka gwona, -(a) buli mwaka. annul, cwa, ita, iha(ho), dibya, sazaamu. annoint, v., seesaho amagita, siiga amagita ha. another, adj., -ndi, -a. kabiri",,,
answer,Runyoro-Rutooro,"okugarukamu, engarukamu, ekyetebuko",,,
ant,Runyoro-Rutooro,"Enkorooto, Enkwirwa, Oruhazi, Ekinyomo, Ensondokozi, Omu fuwirungu, Ekinywansande, Waimiri, Orwabya, Ensorosozi, etc",,,
antagonism,Runyoro-Rutooro,"obuzigu, obunyanzigwa",,,
antagonist,Runyoro-Rutooro,"omuzigu, omurwani, omuhakani,omunyanzigwa. ant-bear, n., enyamulimi. ant-eater, scaly, n., wakonga",,,
antelope,Runyoro-Rutooro,see,enjobe; omurumu zi. antiquity,enjobe; omurumu zi. antiquity,
anuka,Runyoro-Rutooro,to become lean or wasted,,,
anura,Runyoro-Rutooro,"to take out of the sun, take in from drying",to take out of the sun (take in from drying),,
anus,Runyoro-Rutooro,omunsita,,,
anuukura,Runyoro-Rutooro,"to answer, reply, take an offered thing in the hand. anziira, kw-, okw-, vi. (p{ -anziire","to answer (reply, take an offered thing in the hand. anziira, kw-, okw-, vi. (p{ -anziire))",,
anzika,Runyoro-Rutooro,,to disembark (go aground (boat)),,pl: baapuuli
aoikiriza,Runyoro-Rutooro,to dry slowly,,,
ape,Runyoro-Rutooro,okuganyirwa,,,
apostle,Runyoro-Rutooro,"omukwenda, omutumwa. apostleship, adj., obukwenda, obutumwa. apothecary, omusabiki w'emibazi, omutabuzi, omutabi. apparel, ebyokujwara, omujwaro. apparition, ekisisani, omuzimu, ekyegira. appeal to, juurra",okwolekwa,okwolekwa,
appease,Runyoro-Rutooro,"culeeza, ramura, ziruurra, semeza",,,
appetite,Runyoro-Rutooro,"obuli, isuma, amairo. applaud, v. siim teera engaro, kugiz.a, ebaza, teera emirera. applicant",,,
applicant,Runyoro-Rutooro,"kuharabana, obwekambi, kusaba. apply, v. taho, saba. appoint, ragira, taho, sigira, teera, komamu, cwera, ragaoiza. appointment, make an, ragaana, raalika. apportion, bagana, gaba","sangiriza; sangiriza, leetangana, ekerenya, kenkemeerra. approve, v., siima, gonza, semerewa, rabyaho. apron, akajwaro k'omumaiso akemirimo, ekisansa","sangiriza; sangiriza, leetangana, ekerenya, kenkemeerra. approve, v., siima, gonza, semerewa, rabyaho. apron, akajwaro k'omumaiso akemirimo, ekisansa",
ara,Runyoro-Rutooro,"to spread out, lay out (beds, etc.), make the bed","to spread out (lay out (beds, etc.), make the bed)",,c. form: aza; pass. form: arwa; pl: baaraali
arab,Runyoro-Rutooro,"Omuharabu, Omusombwa. arbitrate, v. ramura, cwamu ensonga",,,
arbitrator,Runyoro-Rutooro,"omuramuzi, omuteeranizi arch, v., kunanaza",,,
archangel,Runyoro-Rutooro,"Malaika Omukuru. Archbishop, Isabarolerezi",,,
areola,Runyoro-Rutooro,"himba/hagatira eby'okurwanisa. armlet, omulinga, orunyeerre, empogo, omwetoororo, orugaga, ekikomo, ek.itega, eojogez, eotagabwa, orufuruuto. armour, arms, ebyokurwanisa",,,
armoury,Runyoro-Rutooro,eryahuurroly'ebyokurwaoisa,,,
armpit,Runyoro-Rutooro,"enkwahwa. around, go, ehinguliriza",,,
army,Runyoro-Rutooro,"ihe. arouse, v., sisiimura, humbuura. arrest, v. kwata, boha. arrange, v., tegura, cooka, semeza, kiraanura, tegeka, teekaoiza, heerraniza, hemba. arrive, v. bika, taaha",,,
arrangement,Runyoro-Rutooro,"jweka. arrogance, adj., emyebembo, emyekuniko. arrogant, be, ehemba, ekuoika",,,
arrow,Runyoro-Rutooro,"omwambi, engoobe, ekimara, omusogi. art, amagezi, ecwercerra, ehangahanga",,,
artery,Runyoro-Rutooro,"amacwacwa, -(a) amagezi, -(a) amalyo",,,
artfulness,Runyoro-Rutooro,"amacwacwa, article, ekintu",,,
aruka,Runyoro-Rutooro,,to spring up (grain (etc. just appearing).),,
arum,Runyoro-Rutooro,omutene,ekinyonga. assent; cuucuuka,ekinyonga. assent; cuucuuka,
arura,Runyoro-Rutooro,to take(hen) outside after chickens are hatched,,,
aruurra,Runyoro-Rutooro,"to be spread, furnished","to take up (mats) (take off (coverings). anva, kw-, okw-, v. pass., (pf. -azirwe))",,
asa,Runyoro-Rutooro,"to spl it, cleave, chop","to spl it (cleave, chop)",,
asamiirra,Runyoro-Rutooro,"agape, to keep the mouth open, swallow up","agape (to keep the mouth open, swallow up.)",,
asamya,Runyoro-Rutooro,"to open the mouth. ata, kw-, okw-, v.lr., {pf. -asire","to open the mouth. ata (kw-, okw-, v.lr., {pf. -asire))",,pl: Baateeoyi
asp,Runyoro-Rutooro,"encwera. astray, go, baba, bura, gangaraa. lead a, habisa. asparagus fern, n. kaisabaisaba",,,
asphyxia,Runyoro-Rutooro,"obufundaano. astride, stand, tandama, tandagaarra, tanda amaguru, eyanjara",,,
ass,Runyoro-Rutooro,"enkaina. at, ha",at house of,at house of,
assailant,Runyoro-Rutooro,"esorooza, goma, eteeraniza, kurata, soorrookana. attack, v. rwanisa, gota, zinda, bambira, seesera, rambaara, boyera. attain, v., bika, tunga, ijuza, hikya",,,
assembly,Runyoro-Rutooro,"amatu, huurra, bwituka, baho",,,
assessment,Runyoro-Rutooro,"endenga, embaliirra. ascent, okutemba, entembotembo, amanyegera. assist, juna, kwasa, koonyera, juumura, yamba. ash, ashes, n., omuyonga, iju, omusaso, ebuurwa. assistance, obu. koonyezi, okukoonyerwa, obukwasizo, obuyambi. associate, teerana hamu, koorraana. ashamed, be, kwatwa ensoni, swara, eswalikka, bwarabwara. assurance, okwegumiza kimu, kuha obugumizo, obwesige. ashamed, make, hemura, kwasa, ensoni, swaza. assure, gumya, manyisiza kimu. aside, adj., harubaju, omunsita",a. for; see ipooli. asthma,a. for; see ipooli. asthma,ipooli
astonishment,Runyoro-Rutooro,"okutangaara, akahuno, okuhuniirra",,,
atiirra,Runyoro-Rutooro,"to be audible, distinct, become known (words","to be audible (distinct, become known (words).)",,
atika,Runyoro-Rutooro,"to become broken or cracked, be spilt",to become broken or cracked (be spilt),,pr. form: atikira
atira,Runyoro-Rutooro,"to hatch out atukiirra, kw-, okw-, vi","to hatch out atukiirra (kw-, okw-, vi., (pf. -atukiriire))",,
attendant,Runyoro-Rutooro,"omuheereza, enjeijeza, omugaragara, ensagalizi. avert, v. tanga, hindura, gaarra enyuma, ziza. attentive, be, tega amatu, buliiriza",,,
attire,Runyoro-Rutooro,"ebyokujwara, engoye, omujwaro. avoid, v. nuga, ehara, esumba, etantara, fuuba, ehugura, hinguraho, taliiriza. attire, v., jweka, jwaza. await, v. tegereeza, liinda. attract, v. iriza, cunda, soonasoona. awake, v. i., sisiimuka, imuka, humbuuka, be a., rora. auction, laisi, sell by a., guza laisi. audible, be, hulirwa, atuka",,,
atura,Runyoro-Rutooro,to speak loudJy and distractly (open confession,,,
atuurra,Runyoro-Rutooro,"to hatch out, to help to hatch",to hatch out (to help to hatch),,pr. form: at; pass. form: at
audienceball,Runyoro-Rutooro,ekibira,,,
aunt,Runyoro-Rutooro,"taatenkazi, isenkati, nyinento, mawento, muka swento. away, nm a., iruka, take a., ihaho, ibamu",a. from; bbongoora,a. from; bbongoora,
author,Runyoro-Rutooro,"tunga, beebwa omugisa,gasa, okuba n'omugaso",a. person; see obukwenda. avail,a. person; see obukwenda. avail,obukwenda
auy,Runyoro-Rutooro,"omunywaoi, omukoonyezi, engaojani. Almighty, ow'Obusobozi bwona",,,
avenger,Runyoro-Rutooro,omuhoozi w'enzigu,,,
awe,Runyoro-Rutooro,okutiina,,,
awl,Runyoro-Rutooro,"empindo. avarice, okwima, omukoijo. awry, be, buga, ramara, ehugika. avaricious, be, koija, egomba rupiya. avenge, v. hoora enzigu",,,
axe,Runyoro-Rutooro,"nukwo, ego, Aa. babble babble,jamajama","camuka; camuka, sera(water/liquid). babbler, omujamijami. baboon, enkerebe. baby, akaana, enkerembe, omwana w'enkerembe. bachelor, omutongole, omuhuuru","camuka; camuka, sera(water/liquid). babbler, omujamijami. baboon, enkerebe. baby, akaana, enkerembe, omwana w'enkerembe. bachelor, omutongole, omuhuuru",
aza,Runyoro-Rutooro,to be,"to ransack (search for stolen property (but see also under ara, kw-, okw-). B. One of the bi-labial consonants m Runyoro-Rutooro. Since it is normally pronounced very softly it is referred to as a ""bialabial fractive"": e.g. okubaba, to bum)",,
baaga,Runyoro-Rutooro,"to skin, flay, cut up dead carcass","to skin (flay, cut up dead carcass)",,c. form: baagisa; pass. form: baagwa
baajura,Runyoro-Rutooro,"omukiikaro ky'okundimira inywe nimumbajuurra bubaajura kwonka! Instead of digging deeply for me, you are only digging over lightly!","owange bakabaajura bubaajura kwonka (batalime, at my home they only dug over lightly, they did not dig)",,pr. form: baajuurra; pass. form: baajurwa; pl: of
baata,Runyoro-Rutooro,"to slander, calumniate",to slander (calumniate.),,
baba,Runyoro-Rutooro,"to smoke, heat over fire, burn designs on (stick), sting (e.g. nettle","to smoke (heat over fire, burn designs on (stick), sting (e.g. nettle))",,pr. form: babira; c. form: babisa; pass. form: babwa
babiirra,Runyoro-Rutooro,to be very hot mustard,kaamurali ebabiirra ogu anyakugiiiire (pepper burns that person who has eaten it),,
