word,dialect,definition,example_runyoro,example_rutooro,related_words
wansazi,Runyoro-Rutooro,"fast asleep at night, ""beauty sleep""","oturo akwijagiire twawansazi, he has had beauty sleep. warairaha! int. kuraaza warairaha! to bring to nothing; oturo akwijagiire twawansazi","oturo akwijagiire twawansazi, he has had beauty sleep. warairaha! int. kuraaza warairaha! to bring to nothing; oturo akwijagiire twawansazi",
want,Runyoro-Rutooro,"obwinazi, okwetaaga, obunaku, amaseege, amaioaro, obuburwa. want,v.,endafurahoburwa,etaaga,gonza,etoorra,seega,seerra. wanton, be, anjuka, ba w'orwaoju",,,
war,Runyoro-Rutooro,"rora, lioda, rolecrra, tunuurra. watchman,omulinzi. wann, be, tagata",w. of the night; make w. against,w. of the night; make w. against,
warmth,Runyoro-Rutooro,"obutagasi,ekibabu. warn, buurra, habura, bana, haniirra, gambiirra",,,
warning,Runyoro-Rutooro,"hononoka, meda, gera, biriirra. warp, v/r., gema, bbaamya. warped, be, egema, bama. water, v. tr., itiirra, seeseerra",w. in a hurry; cattle,w. in a hurry; cattle,
wasibo,Runyoro-Rutooro,,"your; your, yours. weebale!,int.,well done! thank you","your; your, yours. weebale!,int.,well done! thank you",esibwa
waste,Runyoro-Rutooro,"ebisusu. ebisunga, ebyenga, ebisengere",,,
water,Runyoro-Rutooro,"amaizi, deep w., amera, eoziha, irehe, omwoyo",,,omuranga
wave,Runyoro-Rutooro,"hunga, hebema. waste, vi. w. away. (insickness), hera, keeba, keebeerra, anuka, hwerra, hononoka. wave, v.tr., hungya. waver, gurukyagurukya, tengeetatengeeta, teteerwa, tahyatahya. waste, v.tr., siisa, nagira busa, feera busa, fiisa, raraogya, faafaaniza, duubuuda","see empaya. wa:ve; see empaya. wa:ve, v.i., hunga, hebema. waste, vi. w. away. (insickness), hera, keeba, keebeerra, anuka, hwerra, hononoka. wave, v.tr., hungya. waver, gurukyagurukya, tengeetatengeeta, teteerwa, tahyatahya. waste, v.tr., siisa, nagira busa, feera busa, fiisa, raraogya, faafaaniza, duubuuda","see empaya. wa:ve; see empaya. wa:ve, v.i., hunga, hebema. waste, vi. w. away. (insickness), hera, keeba, keebeerra, anuka, hwerra, hononoka. wave, v.tr., hungya. waver, gurukyagurukya, tengeetatengeeta, teteerwa, tahyatahya. waste, v.tr., siisa, nagira busa, feera busa, fiisa, raraogya, faafaaniza, duubuuda","empaya, rangaija"
way,Runyoro-Rutooro,"omuhanda,oburabo",move out of w. ehiga; make wfor,move out of w. ehiga; make wfor,
weakling,Runyoro-Rutooro,"enceke, empwamaan i. weakness, obuceke, obugara. weal,el<ltutumbule. wealth,obutungi, itungo, ebintu, obuguuda. wealthy, become, tunga, guudahara",w. person; be weaned,w. person; be weaned,
weariness,Runyoro-Rutooro,"obujwahi, omubito",,,
weasel,Runyoro-Rutooro,"akakorwa, akaoyamurara",,,
weather,Runyoro-Rutooro,"kunira, tangiirra, jwahukiirra, gwerekeerra",see endima. well up; see embunda,see endima. well up; see embunda,"endima, embunda"
